ID,Unique Name,Route,ELR,Veh Per Day,Cyc and Ped Per Day,Trains Per Day,Total users,Main Crossing Type,Lat,Long
1521,Coulags 3,SCOTLAND,KYL,0,0,8,0,User Worked Crossing with Telephone,57.44275857,-5.399943689
1522,Couloch,SCOTLAND,WCK,0,0,8,0,Footpath Crossing,58.39995313,-3.668488691
1524,Coulson Road,LONDON_NORTH_EAST,NOB2,0,0,83,0,User Worked Crossing with Telephone,53.2231951,-0.559023411
1523,Coulson Road FP,LONDON_NORTH_EAST,NOB2,0,44,166,44,Footpath Crossing,53.2231951,-0.559023411
1525,Coulsons,WESSEX,GTW1,0,1,161,1,Footpath Crossing,51.2440088,-0.680840897
1526,Council,LONDON_NORTH_EAST,GRS4,3,0,30,3,User Worked Crossing,53.10924874,0.256447574
1527,Coundon Road,LONDON_NORTH_WEST,CNN,9147,1527,71,10674,Manually Controlled Barrier with CCTV,52.41330874,-1.523304908
1528,Couplands,LONDON_NORTH_EAST,GRS4,2,0,60,2,User Worked Crossing with Telephone,53.12622965,0.196661125
1529,Court Farm,WALES,SBA2,0,0,24,0,User Worked Crossing with Telephone,52.54001945,-3.24081642
1530,Court Farm 2,WESTERN,NDN,2,0,28,2,User Worked Crossing,51.0431454,-4.043679505
1531,Court Farm 3,WESTERN,NDN,2,0,28,2,User Worked Crossing,51.05126398,-4.04855416
1532,Court Farm 4,WESTERN,NDN,0,0,28,0,User Worked Crossing,51.0594792,-4.05349412
1533,Court Farm FP,WALES,SBA2,0,0,24,0,Footpath Crossing,52.54001945,-3.24081642
1534,Courthouse Farm,SUSSEX,STS,4,2,180,6,User Worked Crossing with Telephone,50.85089465,0.038275538
1535,Courtlands No 1,WESTERN,EMT,0,0,64,0,User Worked Crossing,50.63602226,-3.421557546
1536,Cousins,LONDON_NORTH_EAST,YMS,0,0,70,0,User Worked Crossing with Telephone,54.18881851,-0.563483157
1537,Cousins No. 1 FP,ANGLIA,BRA,0,4,44,4,Footpath Crossing,51.86352969,0.569993493
1538,Cousins No. 2,ANGLIA,BRA,1,0,44,1,User Worked Crossing with Telephone,51.86163141,0.570937665
1540,Couston Bottom,WESSEX,SAL,0,0,168,0,User Worked Crossing with Telephone,51.1025247,-1.880000096
1539,Couston Bottom FP,WESSEX,SAL,0,7,83,7,Footpath Crossing,51.1025247,-1.880000096
1541,Cove,SCOTLAND,WCM1,162,0,130,162,Manually Controlled Barrier with CCTV,55.02484516,-3.147556263
1542,Cow,SUSSEX,KJE3,0,0,172,0,User Worked Crossing with Telephone,50.8566738,0.04424063
1544,Cow Creek,ANGLIA,LTN1,1,0,182,1,User Worked Crossing with Telephone,52.25327078,1.005922529
1543,Cow Creek FP,ANGLIA,LTN1,0,3,91,3,Footpath Crossing,52.25264768,1.005317465
1545,Cow Lane,SUSSEX,BBR,0,0,147,0,User Worked Crossing with Telephone,50.80551499,-0.65938628
1546,Cow Lane FP,SUSSEX,TBH1,0,1,154,1,Footpath Crossing,51.09137902,-0.27324306
1547,Cow Pasture Lane (TYB1),LONDON_NORTH_EAST,TYB1,0,0,6,0,Footpath Crossing,53.31500412,-0.79023238
1549,Cow Pasture Lane FP (LTN1),ANGLIA,LTN1,0,11,91,11,Footpath Crossing,52.32105465,1.071851204
1548,Cow Pasture Lane FP (TYB1),LONDON_NORTH_EAST,TYB1,0,0,6,0,User Worked Crossing,53.31500412,-0.79023238
1550,Cowbridge Lane No .11,LONDON_NORTH_EAST,GRS3,0,0,30,0,User Worked Crossing,53.00416844,-0.013098327
1551,Cowdray,KENT,RTT,0,2,56,2,Footpath Crossing,51.21527113,-0.020626219
1552,Cowgill FP,LONDON_NORTH_WEST,DJH,0,1,54,1,Footpath Crossing,53.91805066,-2.302117154
1553,Cowlairs East,SCOTLAND,CSN,2,0,1,2,User Worked Crossing,55.88911759,-4.242261687
1554,Cowpen Bewley,LONDON_NORTH_EAST,LEN3,0,1,52,1,Footpath Crossing,54.61767371,-1.258409523
1555,Cowpen Lane,LONDON_NORTH_EAST,LEN3,1620,81,52,1701,Automatic Half Barrier,54.61578088,-1.26174909
1556,Coxhall Farm 1,WALES,CWL2,3,0,10,3,User Worked Crossing with Telephone,52.36606611,-2.92776611
1557,Coxhall Farm 1 FP,WALES,CWL2,0,0,10,0,Footpath Crossing,52.36606611,-2.92776611
1558,Coxhall Farm 2,WALES,CWL2,0,0,10,0,User Worked Crossing with Telephone,52.36157436,-2.934151209
1559,Coxs,SUSSEX,BBR,22,0,168,22,User Worked Crossing with Telephone,50.79994885,-0.66278773
1560,Coxs Drove FP,ANGLIA,CCH,0,2,34,2,Footpath Crossing,52.18793027,0.214658151
1561,Coxs Farm,SUSSEX,TBH2,0,1,307,1,Footpath Crossing,50.83079275,-0.626462388
1563,Cox's Walk,LONDON_NORTH_EAST,NOG1,14,8,136,22,User Worked Crossing with MSL,52.93570615,-0.756533848
1562,Cox's Walk FP,LONDON_NORTH_EAST,NOG1,0,10,136,10,Footpath Crossing with MSL,52.93570615,-0.756533848
1564,Coychurch,WALES,SWM2,0,30,191,30,Footpath Crossing with MSL,51.50762454,-3.530767987
1565,Crabley Creek,LONDON_NORTH_EAST,HUL1,63,6,149,69,Manned Full Gates,53.73493875,-0.63146317
1566,Crabley Creek FP,LONDON_NORTH_EAST,HUL1,0,17,163,17,Footpath Crossing,53.73493875,-0.63146317
1568,Crabtree,LONDON_NORTH_WEST,WBS3,13,49,72,62,User Worked Crossing with MSL,53.60796674,-2.853392496
1567,Crabtree FP,LONDON_NORTH_WEST,WBS3,0,48,72,48,Footpath Crossing with MSL,53.60796674,-2.853392496
1569,Crackaig 1,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,58.06873187,-3.759746748
1570,Crackaig 2,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,58.0693452,-3.75616768
1571,Craddocks Lane,WESSEX,BTH3,0,21,238,21,Footpath Crossing,51.32073336,-0.298439188
1572,Cradle Bridge,KENT,ACR,0,8,123,8,Footpath Crossing,51.16243786,0.90455107
1573,Cradley Brook,WESTERN,WAH,0,0,52,0,Footpath Crossing,52.06978486,-2.376805512
1574,Cradley Heath,LONDON_NORTH_WEST,GSJ2,230,392,168,622,Manually Controlled Barrier with CCTV,52.46949914,-2.089950853
1575,Cragg Farm,LONDON_NORTH_EAST,MBW3,0,0,33,0,User Worked Crossing with Telephone,54.44750612,-0.697937037
1576,Cragghill Farm,LONDON_NORTH_WEST,SAC,0,0,73,0,User Worked Crossing with Telephone,54.13300654,-2.299155461
1577,Cragghill Farm FP,LONDON_NORTH_WEST,SAC,0,1,38,1,Footpath Crossing,54.13300654,-2.299155461
1578,Cragmill,LONDON_NORTH_EAST,ECM7,1323,54,115,1377,Manually Controlled Barrier with CCTV,55.60768578,-1.817340107
1579,Craig,SCOTLAND,KYL,12,4,8,16,User Worked Crossing with Telephone,57.49053721,-5.271610315
1580,Craig 2,SCOTLAND,STR2,2,2,16,4,User Worked Crossing with Telephone,54.90444808,-4.84503658
1581,Craig Farm,SCOTLAND,KYL,0,4,8,4,Footpath Crossing,57.33749283,-5.617566068
1582,Craigfryn,WALES,SBA2,2,0,24,2,User Worked Crossing with Telephone,52.52846005,-3.453173296
1583,Craigfryn FP,WALES,SBA2,0,2,24,2,Footpath Crossing,52.52846005,-3.453173296
1584,Craig's No. 1,KENT,TTH,0,7,80,7,Footpath Crossing,51.0308717,0.349278081
1585,Crambe Grange,LONDON_NORTH_EAST,YMS,0,0,70,0,Footpath Crossing,54.06396333,-0.891498126
1586,Crambeck,LONDON_NORTH_EAST,YMS,0,4,36,4,User Worked Crossing with Telephone,54.09651215,-0.872039578
1587,Crampmoor,WESSEX,ECR,0,64,106,64,Footpath Crossing,50.99720092,-1.454294111
1589,Cranbourne,ANGLIA,HEB,13,2,89,15,User Worked Crossing with MSL,51.77720985,0.001360606
1588,Cranbourne FP,ANGLIA,HEB,0,21,89,21,Footpath Crossing with MSL,51.77720985,0.001360606
1590,Cranes No. 1 FP,ANGLIA,BRA,0,4,88,4,Footpath Crossing,51.84971295,0.580679209
1591,Cranes No. 2 FP,ANGLIA,BRA,0,4,88,4,Footpath Crossing,51.84423648,0.587949912
1593,Crankley Point,LONDON_NORTH_EAST,NOB1,65,0,79,65,User Worked Crossing with MSL,53.09222445,-0.803599052
1592,Crankley Point FP,LONDON_NORTH_EAST,NOB1,0,54,158,54,Footpath Crossing with MSL,53.09222445,-0.803599052
1594,Cranmore 4 And 9,WESTERN,ESB,0,2,0,2,Footpath Crossing,51.1856718,-2.472052457
1595,Crannaford,WESTERN,BAE2,189,0,26,189,Automatic Half Barrier,50.7553809,-3.40113328
1596,Crannels,WESTERN,BHL,0,8,115,8,User Worked Crossing with Telephone,51.39325493,-1.197312668
1597,Cranswick,LONDON_NORTH_EAST,HBS,783,54,56,837,Automatic Half Barrier,53.95559935,-0.433896259
1598,Craven Arms,WALES,SHL,2511,189,95,2700,Manually Controlled Barrier,52.44713737,-2.839012972
1600,Crawford,ANGLIA,NOL,0,0,36,0,User Worked Crossing with Telephone,52.55372254,1.57812695
1599,Crawford FP,WESSEX,ECR,0,1,58,1,Footpath Crossing,50.9972216,-1.448565608
1601,Crawfords,MIDLAND_AND_CONTINENTAL,NOG1,0,0,68,0,Footpath Crossing,52.95219609,-0.910286284
1602,Crawley High Street,SUSSEX,TBH1,9774,7452,312,17226,Manually Controlled Barrier with CCTV,51.11258745,-0.190614387
1603,Crawley Horsham Road,SUSSEX,TBH1,5940,1188,156,7128,Manually Controlled Barrier with CCTV,51.11351699,-0.196852873
1604,Cray Lane,SUSSEX,TBH1,3672,0,264,3672,Automatic Half Barrier,50.97354824,-0.491326018
1605,Creag Mhor,SCOTLAND,MLG2,4,2,12,6,User Worked Crossing with Telephone,56.93129778,-5.820176865
1606,Creag Ruadh,SCOTLAND,HGL2,2,0,26,2,User Worked Crossing with Telephone,56.96827117,-4.195183473
1607,Creaksea Place 1,ANGLIA,WIS,0,218,108,218,Footpath Crossing,51.63271486,0.796087594
1608,Creamore Farm,WALES,SYC,0,0,62,0,User Worked Crossing with Telephone,52.87032561,-2.708199562
1609,Creaseys,ANGLIA,BGK,0,0,317,0,User Worked Crossing with Telephone,51.76826481,0.015744347
1610,Crediton,WESTERN,DAC,1161,27,28,1188,Manually Controlled Barrier,50.78335114,-3.648531804
1611,Creech St. Michael 10 And 5,WESTERN,MLN1,0,4,105,4,Footpath Crossing,51.0262824,-3.025074308
1612,Cree's,WESTERN,OWW,0,0,26,0,User Worked Crossing,51.84967337,-1.463567694
1613,Cregbheag,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,57.95477309,-4.054703226
1614,Cremorne Lane,ANGLIA,NOL,36,0,274,36,Manned Full Gates,52.62353471,1.321098527
1615,Crescent Road,LONDON_NORTH_WEST,HXS3,4741,407,146,5148,Automatic Half Barrier,53.62940492,-3.018543277
1616,Cressing,ANGLIA,BRA,837,135,44,972,Automatic Barrier Crossing (Locally) Monitored,51.85229789,0.577970792
1617,Cresswell,MIDLAND_AND_CONTINENTAL,NSS,7074,81,70,7155,Automatic Half Barrier,52.95124436,-2.038133856
1618,Crewe Carriage Sidings,LONDON_NORTH_WEST,KCS1,174,3,81,177,User Worked Crossing with Telephone,53.08015843,-2.421873403
1619,Crewkerne,WESSEX,BAE2,1620,0,38,1620,Automatic Half Barrier,50.87210926,-2.792677348
1620,Crewkerne Mill,WESSEX,BAE2,0,126,76,126,Footpath Crossing,50.8730978,-2.774228127
1622,Creykes,LONDON_NORTH_EAST,TJG2,62,3,68,65,User Worked Crossing with MSL,53.66222514,-0.924246459
1621,Creykes FP,LONDON_NORTH_EAST,TJG2,0,10,130,10,Footpath Crossing with MSL,53.66222514,-0.924246459
1623,Criccieth Station,WALES,DJP,0,166,16,166,Footpath Crossing,52.91834942,-4.237379894
1624,Cricket,KENT,BME2,9,0,62,9,User Worked Crossing with Telephone,51.32264475,1.32450998
1625,Cricklewood North,MIDLAND_AND_CONTINENTAL,SPC1,110,40,8,150,Open Crossing,51.57005437,-0.228363858
1626,Cricklewood Refuse Transfer Station,MIDLAND_AND_CONTINENTAL,SPC1,108,108,2,216,Open Crossing,51.56825405,-0.225926506
1627,Cridling Stubbs,LONDON_NORTH_EAST,KWS,594,27,42,621,Manually Controlled Barrier with Obstacle Detection,53.685492,-1.223168809
1629,Criftin Farm,MIDLAND_AND_CONTINENTAL,NOB1,0,0,48,0,User Worked Crossing with Telephone,52.98951639,-1.028230966
1628,Criftin Farm FP,MIDLAND_AND_CONTINENTAL,NOB1,0,53,70,53,Footpath Crossing,52.98951639,-1.028230966
1630,Crilleys,MIDLAND_AND_CONTINENTAL,NOB1,0,2,70,2,Footpath Crossing,53.06961889,-0.888570652
1631,Crinow Farm 2,WALES,PEM,0,1,18,1,User Worked Crossing with Telephone,51.80098784,-4.721376371
1632,Critchlows,MIDLAND_AND_CONTINENTAL,NSS,0,0,35,0,User Worked Crossing with Telephone,52.9540249,-2.045873636
1633,Croes Newydd North Fork,WALES,WSJ2,6912,2538,41,9450,Manually Controlled Barrier,53.04618488,-3.003584098
1634,Croft Cottage,LONDON_NORTH_EAST,BKS,0,4,12,4,Footpath Crossing,53.38593367,-1.232845356
1635,Croftcarnoch 2,SCOTLAND,HGL2,1,1,27,2,User Worked Crossing with Telephone,57.10256257,-3.976896703
1636,Crofton,WESTERN,BHL,0,2,60,2,User Worked Crossing with MSL,51.36097196,-1.622008862
1637,Crofton FP,WESTERN,BHL,0,54,60,54,Footpath Crossing with MSL,51.36097196,-1.622008862
1638,Crofton No.2,LONDON_NORTH_EAST,WAG1,27,4,20,31,Manned Full Gates,53.66659026,-1.441432061
1639,Crofton Old Station,LONDON_NORTH_EAST,WAG1,167,15,55,182,Manned Full Gates,53.66659026,-1.441432061
1640,Crofton Old Station FP,LONDON_NORTH_EAST,WAG1,0,0,64,0,Footpath Crossing,53.66659026,-1.441432061
1641,Cromwell,LONDON_NORTH_EAST,ECM1,0,0,209,0,Footpath Crossing,53.14127587,-0.818432498
1642,Cromwell Lane,LONDON_NORTH_EAST,ECM1,324,14,188,338,Manually Controlled Barrier with CCTV,53.14555214,-0.818009358
1643,Cromwell Road,ANGLIA,ESK,648,27,33,675,Automatic Barrier Crossing (Locally) Monitored,52.43693258,1.55874549
1644,Cronkinsons Farm,WALES,SYC,0,85,62,85,Footpath Crossing,53.06350893,-2.508527911
1645,Cronkinsons FP,WALES,SYC,0,123,62,123,Footpath Crossing,53.06353946,-2.510046351
1646,Crook Rise House,LONDON_NORTH_EAST,SKS2,11,4,5,15,User Worked Crossing,53.99299177,-2.036343234
1647,Crook Wheel,LONDON_NORTH_WEST,CBC1,0,10,50,10,User Worked Crossing with Telephone,54.17972642,-2.988498635
1648,Crook Wheel FP,LONDON_NORTH_WEST,CBC1,0,37,50,37,Footpath Crossing,54.17972642,-2.988498635
1649,Crosfield's,LONDON_NORTH_WEST,SDJ2,243,270,8,513,Manually Controlled Barrier with CCTV,53.38694037,-2.606116452
1650,Cross Brook Farm,WALES,SHL,0,0,94,0,User Worked Crossing with Telephone,52.27853637,-2.743569772
1651,Cross Common,LONDON_NORTH_EAST,HUL1,81,27,86,108,Automatic Half Barrier,53.77180669,-0.915551279
1652,Cross Cottage,WESTERN,ESB,4,4,22,8,User Worked Crossing with Telephone,51.17339145,-2.422736226
1653,Cross Cut Lane,LONDON_NORTH_EAST,GRS3,3,2,30,5,User Worked Crossing,53.00359688,-0.013829788
1654,Cross Cut Lane FP,LONDON_NORTH_EAST,GRS3,0,13,30,13,Footpath Crossing,53.00359688,-0.013829788
1655,Cross Hills,LONDON_NORTH_EAST,TJC3,0,2,200,2,Footpath Crossing,53.92047752,-2.014059237
1656,Cross Keys,ANGLIA,BGK,0,3,76,3,Footpath Crossing,52.42253223,0.305753552
1657,Cross Lane,LONDON_NORTH_EAST,NOB1,270,36,79,306,Automatic Half Barrier,53.14632302,-0.745831589
1658,Crossgates,LONDON_NORTH_EAST,NEC2,0,0,50,0,User Worked Crossing with Telephone,55.0026726,-2.182971172
1659,Crossgates FP,LONDON_NORTH_EAST,NEC2,0,8,50,8,Footpath Crossing,55.0026726,-2.182971172
1660,Croston Moss,LONDON_NORTH_WEST,FCO,0,0,34,0,Footpath Crossing,53.64325369,-2.800477941
1661,Crouch Lane,KENT,FDM,0,0,183,0,Footpath Crossing,51.28388461,0.931846524
1662,Crow Nest Crossing,LONDON_NORTH_WEST,LCN,0,1,70,1,Footpath Crossing,53.54825969,-2.545425784
1663,Crowhurst Bridge,KENT,TTH,1512,162,162,1674,Automatic Half Barrier,51.01376226,0.397424917
1664,Crowle Station,LONDON_NORTH_EAST,DOW,0,68,120,68,Barrow Staff Crossing,53.5898191,-0.817186544
1666,Crown Commissioners,ANGLIA,ETN,3,0,65,3,User Worked Crossing with MSL,52.44539201,0.728925984
1665,Crown Commissioners FP,ANGLIA,ETN,0,7,65,7,Footpath Crossing with MSL,52.44539201,0.728925984
1667,Crown Road,WALES,OVE,0,16,1,16,Footpath Crossing,51.53964983,-3.671906458
1668,Croxton,ANGLIA,ETN,5881,79,65,5960,Automatic Half Barrier,52.44550643,0.797846112
1669,Crucorney Fawr 319,WALES,HNL1,0,8,94,8,Footpath Crossing,51.88420528,-2.98529074
1670,Crundale,WALES,SWM2,200,1,42,201,Automatic Half Barrier,51.82053046,-4.937913115
1672,Crundale Mill,WALES,SWM2,0,1,30,1,User Worked Crossing with Telephone,51.82360514,-4.931440604
1671,Crundale Mill FP,WALES,SWM2,0,0,29,0,Footpath Crossing,51.82360514,-4.931440604
1673,Cuaich,SCOTLAND,HGL2,0,0,35,0,User Worked Crossing with Telephone,56.95698444,-4.213769704
1674,Cuaich FP,SCOTLAND,HGL2,0,0,35,0,Footpath Crossing,56.96773577,-4.196069107
1675,Cuckoo Lane,LONDON_NORTH_EAST,KWS,0,0,76,0,User Worked Crossing,53.60250801,-1.137043929
1676,Cuddington Station,LONDON_NORTH_WEST,CDM2,0,33,44,33,Barrow Staff Crossing,53.23993092,-2.599467121
1677,Culcheth Farm,LONDON_NORTH_WEST,DSE,0,0,236,0,User Worked Crossing with Telephone,53.46526671,-2.52492341
1678,Culgaith,LONDON_NORTH_WEST,SAC,648,54,26,702,Manually Controlled Barrier,54.65622617,-2.606026927
1679,Culgower 1,SCOTLAND,WCK,2,0,10,2,User Worked Crossing with Telephone,58.07579763,-3.739198432
1680,Culgower 2,SCOTLAND,WCK,0,0,20,0,Footpath Crossing,58.03077072,-3.845587808
1681,Culgower 3,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,58.08239495,-3.721952484
1682,Culmaily 2,SCOTLAND,WCK,3,0,10,3,User Worked Crossing with Telephone,57.96316448,-4.015639971
1683,Culnadalloch 1,SCOTLAND,OBN2,0,0,14,0,User Worked Crossing with Telephone,56.44832518,-5.334101681
1684,Culnadalloch 2,SCOTLAND,OBN2,0,2,14,2,User Worked Crossing with Telephone,56.44765217,-5.331833788
1685,Culrain Smithey,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,57.91667209,-4.402841895
1686,Culross A,SCOTLAND,KNE1,0,85,1,85,Footpath Crossing,56.05610028,-3.617764079
1687,Culross B,SCOTLAND,KNE1,0,0,2,0,User Worked Crossing with Telephone,56.05610028,-3.617764079
1688,Culross Pier,SCOTLAND,KNE1,0,10,1,10,Footpath Crossing,56.05467857,-3.632114838
1689,Cults Mill,SCOTLAND,ECN2,0,0,156,0,User Worked Crossing with Telephone,56.28851066,-3.068430349
1690,Cults Mill FP,SCOTLAND,ECN2,0,5,73,5,Footpath Crossing,56.28851066,-3.068430349
1691,Cumberworth,LONDON_NORTH_EAST,PEH,0,6,37,6,Footpath Crossing,53.58484614,-1.679912314
1692,Cummings No.1,WESTERN,WAH,0,2,51,2,Footpath Crossing,52.05795584,-2.38995014
1693,Cummings No.2,WESTERN,WAH,0,0,52,0,Footpath Crossing,52.07081951,-2.374052431
1694,Cumwhinton,LONDON_NORTH_WEST,SAC,0,4,31,4,Footpath Crossing,54.87257887,-2.854639853
1695,Cupboards,KENT,RTT,0,0,57,0,Footpath Crossing,51.19958287,0.15084176
1696,Curb Hut,WALES,SWM2,0,2,96,2,User Worked Crossing with Telephone,51.60988351,-2.682578955
1697,Curriehill,SCOTLAND,ECA2,0,16,228,16,Footpath Crossing,55.89569473,-3.338921149
1698,Cut End,KENT,ACR,0,0,94,0,User Worked Crossing with Telephone,51.3324813,1.231642602
1699,Cut End FP,KENT,ACR,0,4,94,4,Footpath Crossing,51.3324813,1.231642602
1700,Cut Throat Lane,ANGLIA,BRA,0,1162,88,1162,Footpath Crossing with MSL,51.8082795,0.641683093
1701,Cutsyke,LONDON_NORTH_EAST,CPM1,15498,1566,78,17064,Manually Controlled Barrier,53.71442422,-1.358331776
1702,Cutts Drove,WESTERN,CCL,3,3,46,6,User Worked Crossing with Telephone,51.05316825,-2.938060722
1703,Cuxton,KENT,PWS2,1296,108,182,1404,Manually Controlled Barrier,51.37370283,0.461541847
1704,Cwm,WALES,EBW,0,24,36,24,Footpath Crossing,51.73453609,-3.17694354
1705,Cwm Henog Farm 2,WALES,CWL2,0,0,8,0,User Worked Crossing with Telephone,52.09751667,-3.645712808
1706,Cwm Henog Farm 3,WALES,CWL2,0,0,8,0,User Worked Crossing,52.09533042,-3.650769454
1707,Cwmbach Sidings,WALES,VON,0,0,62,0,User Worked Crossing with Telephone,51.70740001,-3.424059851
1708,Cwmbach Sidings FP,WALES,VON,0,121,62,121,Footpath Crossing,51.70740001,-3.424059851
1709,Cwmbwry 1,WALES,SWM2,0,0,78,0,User Worked Crossing with Telephone,51.78731868,-4.358046522
1710,Cwmbwry 2,WALES,SWM2,0,0,78,0,User Worked Crossing with Telephone,51.79012351,-4.354401151
1711,Cwmfelin,WALES,TBD,0,1,4,1,Footpath Crossing,51.6893165,-3.298385609
1712,Cwmffoes,WALES,POR,254,20,0,274,Manned Full Gates,51.53823182,-3.635827089
1713,Cwm-Y-Geist Farm,WALES,CWL2,0,4,10,4,User Worked Crossing with Telephone,52.33315853,-3.21875359
1714,Cwm-Y-Geist FP,WALES,CWL2,0,0,10,0,Footpath Crossing,52.33315853,-3.21875359
1715,Cwrt Newydd,WALES,VOG,0,0,67,0,Footpath Crossing,51.44353915,-3.524691835
1716,Cwrt-Y-Bettws 1,WALES,VON,2,5,4,7,User Worked Crossing,51.64408902,-3.844562029
1717,Dafydd,WALES,DJP,0,0,18,0,User Worked Crossing with Telephone,52.56077476,-4.071745902
1718,Dafydd FP,WALES,DJP,0,1,18,1,Footpath Crossing,52.56077476,-4.071745902
1719,Daines Mayhew FP,ANGLIA,LTN1,0,1,210,1,Footpath Crossing,52.10065037,1.099831746
1720,Dairy,LONDON_NORTH_EAST,BNE,0,84,8,84,Footpath Crossing,55.01756756,-1.554497685
1721,Dairy House Farm FP,LONDON_NORTH_WEST,SAC,0,11,42,11,Footpath Crossing,54.57628495,-2.47926536
1722,Dairycoates West,LONDON_NORTH_EAST,PHC,257,0,4,257,Open Crossing,53.72700419,-0.386644416
1723,Dairyhouse Farm,LONDON_NORTH_WEST,CNH1,1,1,100,2,User Worked Crossing with Telephone,53.10886665,-2.507788053
1724,Daisyfield,LONDON_NORTH_WEST,DJH,1215,108,54,1323,Manned Full Gates,53.75442266,-2.466531704
1725,Dalchalm,SCOTLAND,WCK,297,54,11,351,Automatic Barrier Crossing (Locally) Monitored,58.02430154,-3.853915719
1726,Dalchalm East End,SCOTLAND,WCK,0,3,9,3,Footpath Crossing,58.03050481,-3.846047571
1727,Dalcross,SCOTLAND,ANI3,89,3,26,92,Automatic Half Barrier,57.5271509,-4.069465424
1728,Dallington,LONDON_NORTH_WEST,HNR,0,46,164,46,Footpath Crossing,52.26823601,-0.923325834
1729,Dalmally Hotel,SCOTLAND,OBN2,0,0,12,0,Footpath Crossing,56.39619931,-4.962722602
1730,Dalmally Station,SCOTLAND,OBN2,0,50,14,50,Barrow Staff Crossing,56.40103768,-4.983577568
1731,Dalmartin,SCOTLAND,KYL,0,0,6,0,User Worked Crossing,57.45537067,-5.379007258
1732,Dalnaspidal Lodge,SCOTLAND,HGL2,56,0,64,56,User Worked Crossing with MSL,56.83041853,-4.221419439
1733,Dalnaspidal Lodge FP,SCOTLAND,HGL2,0,18,64,18,User Worked Crossing with MSL,56.83041853,-4.221419439
1734,Dalraddy 1,SCOTLAND,HGL2,0,0,0,0,User Worked Crossing,57.14853949,-3.889965799
1735,Dalrymple,LONDON_NORTH_WEST,CBC3,0,0,35,0,User Worked Crossing with Telephone,54.83324381,-3.068986064
1736,Dam Dykes,LONDON_NORTH_EAST,ECM7,81,54,138,135,Manually Controlled Barrier with CCTV,55.06873155,-1.597992266
1737,Damgate FP,ANGLIA,NAY,0,6,38,6,Footpath Crossing,52.63448947,1.558523189
1738,Danby Keakholm,LONDON_NORTH_EAST,MBW2,0,0,16,0,User Worked Crossing,54.45987836,-0.878273075
1739,Danby Lodge Farm,LONDON_NORTH_EAST,MBW2,4,4,16,8,User Worked Crossing,54.46519426,-0.903617409
1740,Dane Court,KENT,FDM,0,0,73,0,Footpath Crossing,51.28524034,0.929935631
1741,Danes,WESSEX,BKE,0,4,198,4,User Worked Crossing with Telephone,51.39208361,-1.009385763
1743,Dannys (BAR),LONDON_NORTH_EAST,BAR,0,4,18,4,User Worked Crossing with Telephone,53.62163848,-0.302241822
1742,Dannys (BRI2),LONDON_NORTH_EAST,BRI2,0,4,184,4,User Worked Crossing with Telephone,53.62166838,-0.301966617
1744,Danylan,WALES,PEM,0,0,18,0,User Worked Crossing with Telephone,51.80346732,-4.683096146
1745,Danzey Green,LONDON_NORTH_WEST,TSB,0,1,45,1,Footpath Crossing,52.31656216,-1.812516553
1746,Darby Green,WESSEX,GTW2,0,252,84,252,Footpath Crossing,51.33709631,-0.786343815
1747,Darfoulds,LONDON_NORTH_EAST,PSE,0,15,42,15,Footpath Crossing,53.29466461,-1.178430941
1748,Darlingtons,WALES,SYC,0,0,62,0,User Worked Crossing with Telephone,52.95577864,-2.671333023
1749,Darsham,ANGLIA,ESK,15895,104,33,15999,Automatic Half Barrier,52.27283231,1.523581956
1750,Dartnall,KENT,ATH,0,0,47,0,User Worked Crossing with Telephone,50.9722132,0.765420086
1751,Datchet,WESSEX,SWE,8602,706,80,9308,Manually Controlled Barrier with CCTV,51.48337886,-0.580184675
1752,Dauntsey,WESTERN,MLN1,0,0,98,0,Footpath Crossing,51.52340755,-1.999842328
1753,Daux,SUSSEX,TBH1,0,35,252,35,Footpath Crossing,51.0149802,-0.444958586
6553,Wheal Edward,WESTERN,CAL,0,0,18,0,Footpath Crossing,50.50795865,-4.218784818
1756,Davies And Cann,WESTERN,CWR,0,0,0,0,User Worked Crossing,50.36762109,-4.110615666
1755,Davies And Cann FP,WESTERN,CWR,0,216,0,216,Footpath Crossing,50.36762109,-4.110615666
1757,Davies And Metcalfe,WALES,GNQ1,0,0,0,0,User Worked Crossing,52.86418353,-3.046413708
1758,Daw Lane,LONDON_NORTH_EAST,ECM1,1931,54,170,1985,Manually Controlled Barrier with CCTV,53.56691729,-1.127713109
1759,Dawdys,ANGLIA,ESK,112,45,33,157,Automatic Barrier Crossing (Locally) Monitored,52.46620174,1.69366817
1760,Dawes Lane,LONDON_NORTH_EAST,NOP1,1350,27,2,1377,Automatic Barrier Crossing (Locally) Monitored,53.59237254,-0.639251805
1761,Dawlish,WESTERN,MLN1,0,20,127,20,Barrow Staff Crossing with MSL,50.58032549,-3.464829963
1762,Daws,WESTERN,EMT,0,4,64,4,User Worked Crossing with Telephone,50.67104842,-3.44629728
1763,Days,ANGLIA,EWC,2,2,6,4,User Worked Crossing with Telephone,52.41068435,0.292965315
